RECORD_ID,DATE,SEASON,REGION,RAINFALL
1,2025-01-05,Winter,North,15
2,2025-02-15,Winter,North,18
3,2025-03-20,Spring,North,30
4,2025-04-05,Spring,South,50
5,2025-05-15,Summer,South,75
6,2025-06-25,Monsoon,East,125
7,2025-07-10,Monsoon,East,150
8,2025-08-05,Monsoon,East,130
9,2025-09-15,Monsoon,West,110
10,2025-10-01,Autumn,Central,40
11,2025-10-20,Autumn,Central,38
12,2025-11-05,Winter,North,20
13,2025-11-25,Winter,South,22
14,2025-12-10,Winter,East,25
15,2025-12-20,Winter,West,28
16,2025-04-15,Spring,Central,55
21,2025-09-21,Summer,West,101.0
